smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
NC1=NC(=O)C2=N[C@H](O)CNC2=N1	39114294	IMJHAYLWSHODBV-UWTATZPHSA-N	181.155	-2.398	0	30	AAAC	
N[C@@]1(C(=O)O)C[C@@H]1CO	6158192	ZPCQSJYTXRPREU-WUJLRWPWSA-N	131.131	-1.219	0	30	AAAC	
NCC(=O)N1CCCN1	39095926	GLTFNMULINRHLH-UHFFFAOYSA-N	129.163	-1.318	0	30	AAAC	
O=C1OC[C@@H]2[C@H](O)[C@H](O)CN12	39081222	SCIJVPBIFGTJAF-WDCZJNDASA-N	159.141	-1.457	0	30	AAAC	
CN1C(=O)N[C@H](N)[C@H](N)C1=O	39136919	WICFJCRSEXZDDK-HRFVKAFMSA-N	158.161	-2.220	0	30	AAAC	
O=C1O[C@H]2[C@@H](O[C@H](O)[C@@H]2O)[C@@H]1O	13828144	OGLCQHRZUSEXNB-RDTVTQLWSA-N	176.124	-2.649	0	30	AAAC	in-vitro
OC[C@@H]1C[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O	1556503	TVKYRGWJELUGNG-ZYNSJIGGSA-N	178.184	-2.558	0	30	AAAC	biogenic
O=C1Nc2c[nH]c(=O)nc2N[C@@H]1O	32203242	PHMWRCYNACXJTG-RXMQYKEDSA-N	182.139	-1.548	0	30	AAAC	
OC[C@H](O)C(O)(CO)CO	5131770	SDXWEZQDLHNYFR-BYPYZUCNSA-N	152.146	-2.945	0	30	AAAC	endogenous,in-man
C[C@H]1NC(=O)C[C@@H](C(=O)O)N1	39058061	FJXPASICOZWLOK-DMTCNVIQSA-N	158.157	-1.105	0	30	AAAC	
C[C@H]1CN=c2nc(N)[nH]c(=O)c2=N1	13512228	QARNTSWBYSPKTL-VKHMYHEASA-N	179.183	-2.007	0	30	AAAC	
CN1CCN(C(=N)N(C)N)CC1	39113689	CNRYLDCBJAHEPU-UHFFFAOYSA-N	171.248	-1.026	0	30	AAAC	
C1NN[C@@H]2[C@H]1[C@@H]1CN[C@H]12	256604780	WEPFXYDJQOSLPB-SLPGGIOYSA-N	125.175	-1.319	0	30	AAAC	
C[C@@H](O)CNCCNCCN	19360526	TYJJJZBLPWLKNN-SSDOTTSWSA-N	161.249	-1.495	0	30	AAAC	
C[C@H](O)[C@](N)(CCN)C(=O)O	307559724	WMKCSJHGWNOGBF-UJURSFKZSA-N	162.189	-1.502	0	30	AAAC	
N[C@@H](CNC(=O)C=O)C(=O)O	196182966	BBAWQHOBKZYZIH-VKHMYHEASA-N	160.129	-2.287	0	30	AAAC	
N[C@H](C(=O)O)C(C(=O)O)C(=O)O	5131703	OQFSQFPPLPISGP-REOHCLBHSA-N	177.112	-1.816	0	30	AAAC	biogenic
